section,arm,fpr,tpr,auc,auc_lo,auc_hi,n
roc,in_format,0.000000,0.000000,,,,
roc,in_format,0.000000,0.016667,,,,
roc,in_format,0.000000,0.400000,,,,
roc,in_format,0.016667,0.400000,,,,
roc,in_format,0.016667,0.533333,,,,
roc,in_format,0.033333,0.533333,,,,
roc,in_format,0.033333,0.716667,,,,
roc,in_format,0.050000,0.716667,,,,
roc,in_format,0.050000,0.766667,,,,
roc,in_format,0.066667,0.766667,,,,
roc,in_format,0.066667,0.900000,,,,
roc,in_format,0.083333,0.900000,,,,
roc,in_format,0.083333,0.916667,,,,
roc,in_format,0.116667,0.916667,,,,
roc,in_format,0.116667,0.950000,,,,
roc,in_format,0.133333,0.950000,,,,
roc,in_format,0.133333,1.000000,,,,
roc,in_format,1.000000,1.000000,,,,
roc,cross_format,0.000000,0.000000,,,,
roc,cross_format,0.000000,0.013333,,,,
roc,cross_format,0.006667,0.013333,,,,
roc,cross_format,0.006667,0.020000,,,,
roc,cross_format,0.013333,0.020000,,,,
roc,cross_format,0.013333,0.026667,,,,
roc,cross_format,0.033333,0.026667,,,,
roc,cross_format,0.033333,0.040000,,,,
roc,cross_format,0.040000,0.040000,,,,
roc,cross_format,0.040000,0.053333,,,,
roc,cross_format,0.080000,0.053333,,,,
roc,cross_format,0.080000,0.073333,,,,
roc,cross_format,0.086667,0.073333,,,,
roc,cross_format,0.086667,0.086667,,,,
roc,cross_format,0.093333,0.086667,,,,
roc,cross_format,0.093333,0.093333,,,,
roc,cross_format,0.100000,0.093333,,,,
roc,cross_format,0.100000,0.120000,,,,
roc,cross_format,0.106667,0.120000,,,,
roc,cross_format,0.106667,0.126667,,,,
roc,cross_format,0.120000,0.126667,,,,
roc,cross_format,0.120000,0.133333,,,,
roc,cross_format,0.126667,0.133333,,,,
roc,cross_format,0.126667,0.146667,,,,
roc,cross_format,0.133333,0.146667,,,,
roc,cross_format,0.133333,0.180000,,,,
roc,cross_format,0.140000,0.180000,,,,
roc,cross_format,0.140000,0.206667,,,,
roc,cross_format,0.146667,0.206667,,,,
roc,cross_format,0.146667,0.213333,,,,
roc,cross_format,0.153333,0.213333,,,,
roc,cross_format,0.153333,0.220000,,,,
roc,cross_format,0.160000,0.220000,,,,
roc,cross_format,0.160000,0.246667,,,,
roc,cross_format,0.166667,0.246667,,,,
roc,cross_format,0.166667,0.253333,,,,
roc,cross_format,0.180000,0.253333,,,,
roc,cross_format,0.180000,0.266667,,,,
roc,cross_format,0.186667,0.266667,,,,
roc,cross_format,0.186667,0.280000,,,,
roc,cross_format,0.193333,0.280000,,,,
roc,cross_format,0.193333,0.306667,,,,
roc,cross_format,0.200000,0.306667,,,,
roc,cross_format,0.200000,0.320000,,,,
roc,cross_format,0.206667,0.320000,,,,
roc,cross_format,0.206667,0.326667,,,,
roc,cross_format,0.213333,0.326667,,,,
roc,cross_format,0.213333,0.360000,,,,
roc,cross_format,0.220000,0.360000,,,,
roc,cross_format,0.220000,0.386667,,,,
roc,cross_format,0.233333,0.386667,,,,
roc,cross_format,0.233333,0.400000,,,,
roc,cross_format,0.240000,0.400000,,,,
roc,cross_format,0.240000,0.446667,,,,
roc,cross_format,0.246667,0.446667,,,,
roc,cross_format,0.246667,0.466667,,,,
roc,cross_format,0.253333,0.466667,,,,
