statement,dataset,split,correct,eval_order,p_dot,score_xfmt,score_capint
"88 - 63 = 38",arithmetic,arith_train,0,,0.3187486490,,
"68 - 15 = 65",arithmetic,arith_test,0,15,0.2956725812,0.0000060430,
"4 x 47 = 188",arithmetic,arith_train,1,,0.6898326309,,
"27 - 55 = -36",arithmetic,arith_train,0,,0.3841383504,,
"15 - 92 = -77",arithmetic,arith_train,1,,0.5961145838,,
"11 + 27 = 38",arithmetic,arith_train,1,,0.7787127832,,
"99 + 54 = 153",arithmetic,arith_test,1,44,0.7701345133,0.9767701132,
"47 x 60 = 2803",arithmetic,arith_test,0,59,0.7108358766,0.0022752220,
"100 x 74 = 7400",arithmetic,arith_train,1,,0.8142577549,,
"42 x 9 = 378",arithmetic,arith_test,1,77,0.6576937954,0.0221905403,
"47 x 13 = 603",arithmetic,arith_train,0,,0.6937359236,,
"21 x 9 = 193",arithmetic,arith_train,0,,0.6021871673,,
"55 x 35 = 1923",arithmetic,arith_train,0,,0.4926671293,,
"66 + 57 = 123",arithmetic,arith_train,1,,0.7600130943,,
"84 - 55 = 29",arithmetic,arith_train,1,,0.4797159628,,
"46 - 5 = 41",arithmetic,arith_train,1,,0.6129993363,,
"86 + 20 = 111",arithmetic,arith_train,0,,0.4950713977,,
"57 - 68 = -23",arithmetic,arith_train,0,,0.2989044271,,
"40 - 30 = 6",arithmetic,arith_train,0,,0.3255554931,,
"21 x 33 = 693",arithmetic,arith_train,1,,0.7518362692,,
"94 + 81 = 178",arithmetic,arith_train,0,,0.7225179801,,
"99 + 58 = 147",arithmetic,arith_train,0,,0.6376536686,,
"20 - 87 = -67",arithmetic,arith_train,1,,0.6397413121,,
"51 x 15 = 765",arithmetic,arith_train,1,,0.7698363027,,
"64 + 70 = 147",arithmetic,arith_train,0,,0.5917825645,,
"5 x 31 = 170",arithmetic,arith_test,0,40,0.6447859192,0.0000485395,
"27 - 8 = 19",arithmetic,arith_test,1,89,0.4565850806,0.9989951251,
"23 - 35 = -12",arithmetic,arith_train,1,,0.4601105144,,
"69 x 96 = 6624",arithmetic,arith_train,1,,0.8234027691,,
"98 x 38 = 3724",arithmetic,arith_train,1,,0.7346249132,,
"65 - 18 = 50",arithmetic,arith_train,0,,0.3904755161,,
"32 - 10 = 22",arithmetic,arith_test,1,22,0.4927663896,0.9984311604,
"57 - 17 = 40",arithmetic,arith_test,1,93,0.6166609399,0.9985702650,
"97 - 51 = 44",arithmetic,arith_train,0,,0.5694387640,,
"13 x 44 = 560",arithmetic,arith_train,0,,0.5530917264,,
"62 + 2 = 64",arithmetic,arith_train,1,,0.6492432896,,
"76 + 2 = 67",arithmetic,arith_train,0,,0.1980206991,,
"22 - 74 = -52",arithmetic,arith_test,1,95,0.5966096441,0.9946164189,
"83 x 89 = 7387",arithmetic,arith_train,1,,0.7415101440,,
"30 + 63 = 105",arithmetic,arith_train,0,,0.4929644300,,
"72 x 4 = 293",arithmetic,arith_train,0,,0.4643728956,,
"30 x 35 = 1050",arithmetic,arith_train,1,,0.6979220896,,
"16 - 36 = -36",arithmetic,arith_test,0,67,0.2787298239,0.0000001502,
"83 + 88 = 171",arithmetic,arith_train,1,,0.7980231193,,
"81 + 14 = 95",arithmetic,arith_train,1,,0.7407072911,,
"72 x 78 = 5616",arithmetic,arith_train,1,,0.8140494083,,
"13 x 95 = 1235",arithmetic,arith_test,1,68,0.7612041747,0.9917479874,
"66 + 24 = 98",arithmetic,arith_test,0,28,0.5828054970,0.0016550382,
"94 x 94 = 8836",arithmetic,arith_test,1,7,0.8398678888,0.9722880314,
"40 - 73 = -52",arithmetic,arith_train,0,,0.2743053802,,
"63 x 80 = 5050",arithmetic,arith_train,0,,0.7944582142,,
"23 + 62 = 97",arithmetic,arith_train,0,,0.4300586706,,
"79 - 71 = -12",arithmetic,arith_train,0,,0.2544760886,,
"71 x 7 = 515",arithmetic,arith_train,0,,0.6451489141,,
"35 + 73 = 122",arithmetic,arith_train,0,,0.5859074984,,
"50 - 64 = -22",arithmetic,arith_train,0,,0.1214187392,,
"5 + 79 = 84",arithmetic,arith_train,1,,0.7670192972,,
"96 + 98 = 194",arithmetic,arith_train,1,,0.7770686720,,
"69 x 99 = 6831",arithmetic,arith_train,1,,0.8435821291,,
"24 + 90 = 114",arithmetic,arith_train,1,,0.8204036867,,
"100 - 100 = 0",arithmetic,arith_train,1,,0.7285095297,,
"16 x 79 = 1264",arithmetic,arith_train,1,,0.7331913316,,
"34 x 20 = 680",arithmetic,arith_train,1,,0.6845684937,,
"45 - 38 = 7",arithmetic,arith_test,1,26,0.5392322377,0.9996771233,
"94 + 67 = 172",arithmetic,arith_train,0,,0.6187005175,,
"89 x 37 = 3293",arithmetic,arith_test,1,38,0.7877064598,0.1365710288,
"31 x 13 = 403",arithmetic,arith_test,1,75,0.8192490707,0.9829003925,
"17 x 31 = 527",arithmetic,arith_train,1,,0.7169588469,,
"1 + 14 = 15",arithmetic,arith_test,1,70,0.4105951644,0.9373814757,
"4 x 13 = 52",arithmetic,arith_train,1,,0.7998973704,,
"91 x 90 = 8196",arithmetic,arith_train,0,,0.6297122727,,
"23 x 85 = 1958",arithmetic,arith_train,0,,0.5278546368,,
"58 - 18 = 40",arithmetic,arith_train,1,,0.6263370631,,
"22 x 89 = 1958",arithmetic,arith_train,1,,0.6874843540,,
"54 + 87 = 157",arithmetic,arith_train,0,,0.6482414406,,
"0 + 10 = 1",arithmetic,arith_train,0,,0.1964483733,,
"91 + 40 = 131",arithmetic,arith_train,1,,0.7373450415,,
"10 + 32 = 24",arithmetic,arith_test,0,109,0.4279803841,0.0000029341,
"75 x 51 = 3822",arithmetic,arith_train,0,,0.5920356947,,
"34 - 55 = -21",arithmetic,arith_train,1,,0.6548223644,,
"4 - 74 = -75",arithmetic,arith_train,0,,0.5066243010,,
"41 x 21 = 876",arithmetic,arith_train,0,,0.5032356802,,
"5 - 31 = -26",arithmetic,arith_train,1,,0.7010562165,,
"16 - 81 = -61",arithmetic,arith_train,0,,0.6507950498,,
"84 x 60 = 5040",arithmetic,arith_test,1,106,0.8030840505,0.9617461082,
"4 x 16 = 45",arithmetic,arith_train,0,,0.5706330445,,
"14 + 84 = 93",arithmetic,arith_train,0,,0.5494356920,,
"83 + 9 = 76",arithmetic,arith_train,0,,0.3139925180,,
"85 - 13 = 72",arithmetic,arith_train,1,,0.6669112545,,
"9 + 88 = 91",arithmetic,arith_train,0,,0.5809857672,,
"64 - 67 = 3",arithmetic,arith_test,0,1,0.2378883142,0.0001129959,
"12 + 89 = 119",arithmetic,arith_train,0,,0.6418994466,,
"84 x 79 = 6616",arithmetic,arith_train,0,,0.7788634803,,
"84 - 24 = 60",arithmetic,arith_train,1,,0.5942405812,,
"73 - 36 = 21",arithmetic,arith_train,0,,0.4802701541,,
"48 + 61 = 109",arithmetic,arith_test,1,78,0.7414243233,0.9840978203,
"91 + 14 = 105",arithmetic,arith_test,1,17,0.7966820304,0.9977518786,
"36 - 90 = -69",arithmetic,arith_train,0,,0.4397338305,,
"59 - 48 = 11",arithmetic,arith_train,1,,0.5071920150,,
"27 + 98 = 116",arithmetic,arith_test,0,27,0.5963037284,0.1862933528,
"23 x 18 = 401",arithmetic,arith_test,0,41,0.4341851315,0.0000057023,
"17 - 49 = -20",arithmetic,arith_test,0,18,0.3203748986,0.0000282061,
"72 + 5 = 74",arithmetic,arith_train,0,,0.4672988050,,
